VALIDACIONES PRESENCIALES NORMALIZADAS A 24H
Fuente: DOCX/CSV locales procesados por FincaDiag.
Nota: este archivo es canónico para revisión humana; el motor ya normaliza internamente estas horas.

## 2026-04-06 PM
Ventana de ordeño: 13:06 - 14:08
Vacas registradas: 19
Vaca 762 | entrada 14:02 | tag 14:02 | salida 14:15 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx
Vaca 754 | entrada 14:03 | tag 14:05 | salida 14:17 | rfid dudoso | flujo dudoso | doc validacion_visita_06_05_2026.docx
Vaca 688 | entrada 14:08 | tag 14:08 | salida 14:17 | rfid si | flujo si | doc validacion_visita_06_05_2026.docx

## 2026-05-07 PM
Ventana de ordeño: 12:56 - 14:19
Vacas registradas: 28
Vaca 607 | entrada 12:56 | tag 12:56 | salida 13:04 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 664 | entrada 12:56 | tag 12:56 | salida 13:04 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 741 | entrada 12:56 | tag 15:56 | salida 13:05 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 491 | entrada 13:05 | tag 13:05 | salida 13:13 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 538 | entrada 13:05 | tag 13:05 | salida 13:13 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 728 | entrada 13:05 | tag 13:05 | salida 13:14 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 497 | entrada 13:08 | tag 13:08 | salida 13:20 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 778 | entrada 13:08 | tag 13:08 | salida 13:20 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 474 | entrada 13:09 | tag 13:09 | salida 13:21 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 756 | entrada 13:15 | tag 13:15 | salida 13:25 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 696 | entrada 13:16 | tag 13:16 | salida 13:26 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 752 | entrada 13:16 | tag 13:16 | salida 13:25 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 573 | entrada 13:22 | tag 13:22 | salida 13:34 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 773 | entrada 13:22 | tag 13:22 | salida 13:34 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 424 | entrada 13:23 | tag 13:23 | salida 13:34 | rfid si | flujo dudoso | doc validacion_visita_07_05_2026.docx
Vaca 559 | entrada 13:28 | tag 13:28 | salida 13:38 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 747 | entrada 13:28 | tag 13:28 | salida 13:39 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 777 | entrada 13:30 | tag 13:30 | salida 13:39 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 498 | entrada 13:42 | tag 13:42 | salida 13:51 | rfid si | flujo dudoso | doc validacion_visita_07_05_2026.docx
Vaca 746 | entrada 13:42 | tag 13:42 | salida 13:50 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 748 | entrada 13:42 | tag 13:42 | salida 13:50 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 634 | entrada 13:54 | tag 13:57 | salida 14:09 | rfid dudoso | flujo dudoso | doc validacion_visita_07_05_2026.docx
Vaca 514 | entrada 13:55 | tag 13:55 | salida 14:09 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 757 | entrada 13:55 | tag 13:55 | salida 14:04 | rfid si | flujo dudoso | doc validacion_visita_07_05_2026.docx
Vaca 531 | entrada 14:05 | tag 14:05 | salida 14:18 | rfid dudoso | flujo dudoso | doc validacion_visita_07_05_2026.docx
Vaca 688 | entrada 14:05 | tag 14:05 | salida 14:19 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 754 | entrada 14:05 | tag 14:05 | salida 14:17 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx
Vaca 762 | entrada 14:05 | tag 14:05 | salida 14:16 | rfid si | flujo si | doc validacion_visita_07_05_2026.docx

## 2026-05-10 PM
Ventana de ordeño: 12:45 - 13:36
Vacas registradas: 8
Vaca 778 | entrada  | tag  | salida 13:09 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 777 | entrada 13:07 | tag 13:10 | salida 13:16 | rfid dudoso | flujo dudoso | doc validacion_visita_10_05_2026.docx
Vaca 514 | entrada 13:15 | tag 13:15 | salida 13:25 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 634 | entrada 13:15 | tag 13:16 | salida 13:26 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 688 | entrada 13:24 | tag 13:29 | salida 13:35 | rfid dudoso | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 754 | entrada 13:24 | tag 13:24 | salida 13:35 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 762 | entrada 13:24 | tag 13:24 | salida 13:35 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx
Vaca 531 | entrada 13:26 | tag 13:26 | salida 13:36 | rfid si | flujo si | doc validacion_visita_10_05_2026.docx

## 2026-05-13 PM
Ventana de ordeño: 12:40 - 14:12
Vacas registradas: 22
Vaca 424 | entrada  | tag  | salida 13:17 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 432 | entrada  | tag  | salida 13:17 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 497 | entrada  | tag  | salida 13:17 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 446 | entrada 13:16 | tag 13:16 | salida 13:27 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 778 | entrada 13:16 | tag 13:16 | salida 13:26 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 728 | entrada 13:17 | tag 13:17 | salida 13:26 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 696 | entrada 13:22 | tag 13:22 | salida 13:31 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 747 | entrada 13:22 | tag 13:22 | salida 13:31 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 573 | entrada 13:23 | tag 13:23 | salida 13:32 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 757 | entrada 13:30 | tag 13:30 | salida 13:40 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 777 | entrada 13:30 | tag 13:35 | salida 13:40 | rfid dudoso | flujo dudoso | doc validacion_visita_13_05_2026.docx
Vaca 498 | entrada 13:31 | tag 13:35 | salida 13:40 | rfid dudoso | flujo dudoso | doc validacion_visita_13_05_2026.docx
